time,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi
2023-05-06 12:00:00,13.63,13.03,1016,76,9.48,6.17,92,8.41,100,1,2.25,3.62
2023-05-07 12:00:00,6.08,3.35,1022,93,5.06,4.43,3,7.2,100,0.57,0.43,1.6
2023-05-08 12:00:00,7.11,3.84,1030,74,2.74,6.27,83,9.16,99,0.09,0.0,1.88
2023-05-09 12:00:00,10.92,9.5,1027,55,2.27,7.6,94,13.4,2,0,0.0,5.42
2023-05-10 12:00:00,14.54,13.3,1019,48,3.63,6.4,89,12.59,8,0,0.0,5.39
2023-05-11 12:00:00,13.13,12.22,1022,66,6.76,5.98,93,10.73,97,0.75,0.97,6
2023-05-12 12:00:00,14.18,13.35,1023,65,7.64,5.18,92,8.62,7,0.81,1.72,6
2023-05-13 12:00:00,12.8,11.89,1022,67,6.69,2.19,61,3.44,98,0.54,0.92,6
