time,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi
2023-05-12 12:00:00,17.48,16.75,1019,56,8.62,7.28,90,9.59,39,0.3,0.11,5.28
2023-05-13 12:00:00,14.45,13.57,1023,62,7.1,5.74,89,8.05,100,0.4,0.11,4.69
2023-05-14 12:00:00,16.61,15.92,1020,61,8.95,5.11,92,9.05,84,0.64,0.66,4.68
2023-05-15 12:00:00,11.1,10.8,1010,97,10.57,4.91,91,9.37,100,1,5.08,2.22
2023-05-16 12:00:00,13.99,13.74,1007,88,12,2.42,59,4.12,100,1,5.03,1.81
2023-05-17 12:00:00,16.67,16.53,1007,82,13.47,2.7,275,5.39,100,1,8.61,2
2023-05-18 12:00:00,7.83,5.3,1015,97,7.39,4.07,303,7.45,100,1,34.42,2
2023-05-19 12:00:00,13.04,11.73,1020,51,3.08,3.46,343,4.48,7,0,0.0,2
