time,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,pop

2023-05-15 09:00:00,13.62,13.41,1006,91,12.18,0.58,100,10000,2.53,122,3.87,0.53

2023-05-15 10:00:00,13.56,13.32,1006,90,11.95,0.88,100,10000,0.84,147,1.89,0.45

2023-05-15 11:00:00,13.84,13.58,1006,88,11.89,1.17,99,10000,1.38,260,2.22,0.42

2023-05-15 12:00:00,13.63,13.35,1007,88,11.68,2.08,99,10000,2.43,294,2.81,0.42

2023-05-15 13:00:00,13.88,13.6,1008,87,11.75,2.13,98,10000,3.31,297,4.4,0.66

2023-05-15 14:00:00,13.43,13.07,1008,86,10.98,1.92,98,10000,2.31,300,3.21,0.83

2023-05-15 15:00:00,14.2,13.84,1008,83,11.23,3.39,91,10000,1.38,282,3.12,0.72

2023-05-15 16:00:00,16.5,16.11,1007,73,11.5,2.31,85,10000,1.76,239,4.52,0.71

2023-05-15 17:00:00,16.21,15.84,1008,75,11.76,1.32,90,10000,2.72,255,5.37,0.82

2023-05-15 18:00:00,15.05,14.73,1008,81,11.67,0.69,92,10000,4.28,280,7.15,0.9

2023-05-15 19:00:00,13.14,12.78,1009,87,10.88,0.23,94,10000,4.86,283,9.95,0.9

2023-05-15 20:00:00,11.51,11.07,1009,90,9.87,0,95,10000,3.18,275,8.34,0.9

2023-05-15 21:00:00,10.48,9.99,1010,92,9.15,0,100,10000,2.56,264,7.13,0

2023-05-15 22:00:00,9.96,8.89,1011,92,8.72,0,100,10000,2.33,242,4.33,0

2023-05-15 23:00:00,9.72,8.89,1011,92,8.35,0,100,10000,1.97,220,3.35,0

2023-05-16 00:00:00,9.53,8.68,1011,90,7.95,0,100,10000,1.96,199,2.42,0

2023-05-16 01:00:00,9.33,8.76,1011,89,7.47,0,100,10000,1.62,198,1.67,0

2023-05-16 02:00:00,8.99,8.54,1011,89,7.13,0,99,10000,1.46,194,1.48,0

2023-05-16 03:00:00,8.53,7.9,1012,89,6.79,0,88,10000,1.57,205,1.55,0

2023-05-16 04:00:00,8.21,7.68,1012,89,6.42,0,87,10000,1.44,216,1.41,0

2023-05-16 05:00:00,7.8,7.8,1012,89,6,0,84,10000,1.17,217,1.18,0

2023-05-16 06:00:00,8.86,8.47,1012,88,6.86,0.16,70,10000,1.39,212,1.44,0

2023-05-16 07:00:00,10.9,10.21,1013,83,8.04,0.56,76,10000,1.07,206,1.53,0

2023-05-16 08:00:00,13.05,12.39,1013,76,8.81,1.32,71,10000,0.87,232,1.25,0

2023-05-16 09:00:00,14.54,13.93,1013,72,9.47,1.99,100,10000,0.92,228,1.34,0

2023-05-16 10:00:00,16.41,15.86,1013,67,10.12,3.08,85,10000,1.03,305,1.38,0

2023-05-16 11:00:00,17.59,17.05,1013,63,10.38,4.08,90,10000,1.12,18,0.89,0

2023-05-16 12:00:00,18.31,17.76,1013,60,10.42,5.9,92,10000,1.02,35,0.74,0

2023-05-16 13:00:00,18.8,18.25,1013,58,10.39,6.03,94,10000,1.67,54,1.24,0

2023-05-16 14:00:00,19.07,18.55,1012,58,10.55,5.43,95,10000,2.5,57,2.15,0

2023-05-16 15:00:00,19,18.5,1012,59,10.9,3.57,100,10000,3.23,69,3.18,0

2023-05-16 16:00:00,18.52,18.1,1012,64,11.56,2.43,100,10000,3.74,73,3.95,0

2023-05-16 17:00:00,18.08,17.8,1012,71,12.57,1.39,100,10000,3.6,78,4.72,0.01

2023-05-16 18:00:00,17.17,16.93,1012,76,12.77,0.3,100,10000,3.28,76,5.89,0.17

2023-05-16 19:00:00,15.05,14.86,1012,86,12.67,0.1,100,10000,2.99,77,6.66,0.46

2023-05-16 20:00:00,13.82,13.69,1012,93,12.69,0,100,10000,2.51,85,6.94,0.57

2023-05-16 21:00:00,13.49,13.38,1012,95,12.66,0,100,10000,2.82,64,7,0.82

2023-05-16 22:00:00,13.15,13.03,1012,96,12.39,0,100,10000,1.83,64,5.54,0.96

2023-05-16 23:00:00,12.96,12.84,1012,97,12.4,0,100,10000,2.18,49,6.7,1

2023-05-17 00:00:00,12.7,12.56,1011,97,12.22,0,100,10000,2.4,20,6.76,1

2023-05-17 01:00:00,12.36,12.18,1011,97,11.93,0,100,10000,2.33,54,6.02,1

2023-05-17 02:00:00,12.46,12.35,1011,99,12.21,0,100,3748,2.19,46,5.96,1

2023-05-17 03:00:00,12.47,12.36,1011,99,12.27,0,100,3198,1.47,15,4.08,1

2023-05-17 04:00:00,12.55,12.45,1011,99,12.35,0,100,2302,1.7,11,3.51,1

2023-05-17 05:00:00,12.53,12.42,1010,99,12.29,0,100,1702,2.76,10,5.12,1

2023-05-17 06:00:00,12.4,12.28,1011,99,12.1,0.01,100,2853,2.79,20,5.66,1

2023-05-17 07:00:00,12.43,12.29,1012,98,12.16,0.04,100,6363,2.4,359,4.77,1

2023-05-17 08:00:00,12.28,12.12,1012,98,11.91,0.1,100,7426,2.77,327,4.98,1

