time,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi

2023-05-10 12:00:00,17.03,16.04,1017,48,5.95,7.16,89,12.19,24,0,0.0,5.56

2023-05-11 12:00:00,17.04,16.08,1018,49,6.07,8.4,83,12.7,1,0,0.0,5.61

2023-05-12 12:00:00,14.7,13.79,1021,60,6.99,7.78,86,10.22,100,0.01,0.0,5.21

2023-05-13 12:00:00,13.15,12.24,1023,66,7,5.99,110,6.87,99,0.05,0.0,4.31

2023-05-14 12:00:00,17.79,17.03,1018,54,8.4,7.03,115,11.08,15,0,0.0,5.78

2023-05-15 12:00:00,19.09,18.62,1006,60,10.98,7.45,111,12.29,93,0.95,6.88,6

2023-05-16 12:00:00,10.16,9.79,1005,98,9.79,4.43,79,8.06,100,1,5.6,6

2023-05-17 12:00:00,11.08,10.7,1014,94,10.13,6.23,76,11.3,100,1,2,6

