time,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi
2023-05-11 12:00:00,17.4,16.4,1018,46,5.51,7.87,88,13.22,6,0,0.0,5.57
2023-05-12 12:00:00,16.01,15.13,1020,56,7.3,7.71,88,12.87,91,0,0.0,5.21
2023-05-13 12:00:00,13.84,13,1022,66,7.49,6.31,100,8.38,68,0.47,0.26,4.47
2023-05-14 12:00:00,16.59,15.87,1020,60,8.6,5.72,84,10.08,16,0,0.0,4.95
2023-05-15 12:00:00,17.74,17.4,1006,70,12.1,5.77,128,8.35,100,0.65,0.86,1.62
2023-05-16 12:00:00,13.94,13.66,1007,87,11.71,2.62,127,5.35,100,0.97,15.49,2
2023-05-17 12:00:00,11.29,10.98,1012,96,10.66,6.43,324,11.68,100,1,34.46,2
2023-05-18 12:00:00,11.1,9.83,1024,60,3.63,3.81,304,7.39,99,0.07,0.0,2
