time,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi

2023-05-07 12:00:00,7.17,4.91,1022,85,4.82,4.74,50,8.04,100,0.26,0.0,1.03

2023-05-08 12:00:00,7.02,3.64,1029,71,2.09,6.31,75,8.8,100,0,0.0,2.53

2023-05-09 12:00:00,12.04,10.76,1026,56,3.47,7.41,87,13.57,8,0,0.0,5.45

2023-05-10 12:00:00,15.01,13.85,1018,49,4.47,6.77,76,10.48,1,0,0.0,5.42

2023-05-11 12:00:00,12.74,11.79,1019,66,6.44,6.54,78,12.6,100,0,0.0,5.63

2023-05-12 12:00:00,13.9,12.99,1019,63,6.97,7.82,84,12.26,100,0.03,0.0,6

2023-05-13 12:00:00,10.67,9.91,1021,81,7.49,6.14,88,10.68,100,0.67,2.08,6

2023-05-14 12:00:00,14.86,14.12,1017,66,8.44,2.38,65,2.3,19,1,6.49,6

